         26965268 function calls (26600257 primitive calls) in 56.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.078    0.078 ParkingSimulation.py:91(__init__)
        1    0.020    0.020    0.078    0.078 ParkingSimulation.py:95(get_segments)
     1952    0.041    0.000    0.078    0.000 linalg.py:449(inv)
     3780    0.015    0.000    0.078    0.000 transforms.py:2416(__init__)
        1    0.000    0.000    0.077    0.077 _subplots.py:1(<module>)
    37025    0.077    0.000    0.077    0.000 {built-in method zeros}
    14364    0.013    0.000    0.077    0.000 transforms.py:1199(_iter_break_from_left_to_right)
        1    0.000    0.000    0.076    0.076 contour.py:4(<module>)
     3780    0.022    0.000    0.075    0.000 collections.py:656(_set_facecolor)
     9072    0.013    0.000    0.075    0.000 _base.py:3055(get_ybound)
     1232    0.075    0.000    0.075    0.000 {built-in method stat}
    11120    0.015    0.000    0.074    0.000 fromnumeric.py:55(_wrapfunc)
    49562    0.045    0.000    0.074    0.000 backend_bases.py:1012(set_foreground)
    96236    0.074    0.000    0.074    0.000 _weakrefset.py:16(__init__)
     9076    0.016    0.000    0.073    0.000 fromnumeric.py:1673(clip)
     1164    0.001    0.000    0.073    0.000 <frozen importlib._bootstrap>:68(_path_stat)
      496    0.002    0.000    0.071    0.000 ticker.py:2317(__init__)
    47797    0.043    0.000    0.070    0.000 _collections_abc.py:498(__iter__)
     6380    0.012    0.000    0.070    0.000 font_manager.py:970(_normalize_font_family)
    27481    0.053    0.000    0.069    0.000 artist.py:775(_set_gc_clip)
      496    0.002    0.000    0.069    0.000 ticker.py:1630(__init__)
    18324    0.029    0.000    0.068    0.000 transforms.py:723(union)
